"",Length (m),Avg. Period,S_xx,S_yy,S_xy
0,0.787,1.89,0.062500,0.198025,0.111250
1,0.695,1.71,0.024964,0.070225,0.041870
2,0.590,1.44,0.002809,0.000025,-0.000265
3,0.500,1.33,0.001369,0.013225,0.004255
4,0.360,1.21,0.031329,0.055225,0.041595
5,0.290,1.09,0.061009,0.126025,0.087685
